physical_label,source_node,device_name,linux_name,key_code,scan_code,msc_scan_supported,repeat_supported,verified_run
HOME,/dev/input/event0,matrix_keypad@0,KEY_HOME,102,4,true,false,20260814-212736
VOLUME_DOWN,/dev/input/event0,matrix_keypad@0,KEY_VOLUMEDOWN,114,20,true,false,20260814-212736
VOLUME_UP,/dev/input/event0,matrix_keypad@0,KEY_VOLUMEUP,115,19,true,false,20260814-212736
Q,/dev/input/event0,matrix_keypad@0,KEY_Q,16,3,true,false,20260814-212736
W,/dev/input/event0,matrix_keypad@0,KEY_W,17,2,true,false,20260814-212736
E,/dev/input/event0,matrix_keypad@0,KEY_E,18,1,true,false,20260814-212736
R,/dev/input/event0,matrix_keypad@0,KEY_R,19,0,true,false,20260814-212736
T,/dev/input/event0,matrix_keypad@0,KEY_T,20,28,true,false,20260814-212736
Y,/dev/input/event0,matrix_keypad@0,KEY_Y,21,27,true,false,20260814-212736
U,/dev/input/event0,matrix_keypad@0,KEY_U,22,26,true,false,20260814-212736
I,/dev/input/event0,matrix_keypad@0,KEY_I,23,25,true,false,20260814-212736
O,/dev/input/event0,matrix_keypad@0,KEY_O,24,24,true,false,20260814-212736
A,/dev/input/event0,matrix_keypad@0,KEY_A,30,11,true,false,20260814-212736
S,/dev/input/event0,matrix_keypad@0,KEY_S,31,10,true,false,20260814-212736
D,/dev/input/event0,matrix_keypad@0,KEY_D,32,9,true,false,20260814-212736
F,/dev/input/event0,matrix_keypad@0,KEY_F,33,8,true,false,20260814-212736
G,/dev/input/event0,matrix_keypad@0,KEY_G,34,36,true,false,20260814-212736
H,/dev/input/event0,matrix_keypad@0,KEY_H,35,35,true,false,20260814-212736
J,/dev/input/event0,matrix_keypad@0,KEY_J,36,34,true,false,20260814-212736
K,/dev/input/event0,matrix_keypad@0,KEY_K,37,33,true,false,20260814-212736
L,/dev/input/event0,matrix_keypad@0,KEY_L,38,32,true,false,20260814-212736
LEFT_SHIFT,/dev/input/event0,matrix_keypad@0,KEY_LEFTSHIFT,42,12,true,false,20260814-212736
Z,/dev/input/event0,matrix_keypad@0,KEY_Z,44,18,true,false,20260814-212736
X,/dev/input/event0,matrix_keypad@0,KEY_X,45,17,true,false,20260814-212736
C,/dev/input/event0,matrix_keypad@0,KEY_C,46,16,true,false,20260814-212736
V,/dev/input/event0,matrix_keypad@0,KEY_V,47,44,true,false,20260814-212736
B,/dev/input/event0,matrix_keypad@0,KEY_B,48,43,true,false,20260814-212736
N,/dev/input/event0,matrix_keypad@0,KEY_N,49,42,true,false,20260814-212736
M,/dev/input/event0,matrix_keypad@0,KEY_M,50,41,true,false,20260814-212736
SPACE,/dev/input/event0,matrix_keypad@0,KEY_SPACE,57,40,true,false,20260814-212736
UP,/dev/input/event1,gpio_keys,KEY_UP,103,,false,false,20260814-212736
LEFT,/dev/input/event1,gpio_keys,KEY_LEFT,105,,false,false,20260814-212736
RIGHT,/dev/input/event1,gpio_keys,KEY_RIGHT,106,,false,false,20260814-212736
DOWN,/dev/input/event1,gpio_keys,KEY_DOWN,108,,false,false,20260814-212736
DELETE,/dev/input/event1,gpio_keys,KEY_DELETE,111,,false,false,20260814-212736
WAKEUP,/dev/input/event1,gpio_keys,KEY_WAKEUP,143,,false,false,20260814-212736
BACK,/dev/input/event1,gpio_keys,KEY_BACK,158,,false,false,20260814-212736
P,/dev/input/event1,gpio_keys,KEY_P,25,,false,false,20260814-212736
ENTER,/dev/input/event1,gpio_keys,KEY_ENTER,28,,false,false,20260814-212736
OK,/dev/input/event1,gpio_keys,KEY_OK,352,,false,false,20260814-212736
