両	兩
乗	乘
亀	龜
予	豫
亜	亞
仏	佛
仮	假
伝	傳
価	價
倹	儉
偽	僞
児	兒
円	圓
処	處
剣	劍
剤	劑
剰	剩
労	勞
効	效
勅	敕
勧	勸
勲	勳
単	單
厠	廁
厳	嚴
収	收
呉	吳
呪	咒
唖	啞
営	營
噛	嚙
団	團
囲	圍
図	圖
圏	圈
圧	壓
塁	壘
塩	鹽
増	增
壊	壞
壌	壤
壱	壹
売	賣
変	變
奨	奬
嬢	孃
実	實
寛	寬
対	對
専	專
巌	巖
巣	巢
巻	卷
帯	帶
帰	歸
庁	廳
広	廣
廃	廢
弁	辨
弐	貳
弾	彈
従	從
徳	德
徴	徵
応	應
恵	惠
悩	惱
悪	惡
懐	懷
戦	戰
戸	戶
戻	戾
払	拂
抜	拔
択	擇
拝	拜
拠	據
拡	擴
挙	舉
挿	插
捜	搜
掲	揭
掻	搔
揺	搖
摂	攝
撃	擊
撹	攪
斉	齊
斎	齋
晩	晚
暁	曉
暦	曆
曁	暨
曽	曾
査	查
栄	榮
桜	櫻
桝	枡
桟	棧
検	檢
楡	榆
楽	樂
様	樣
権	權
欠	缺
歓	歡
歩	步
歯	齒
歳	歲
歴	歷
殻	殼
毎	每
気	氣
氷	冰
汚	污
沢	澤
浄	淨
浜	濱
涙	淚
渇	渴
済	濟
渉	涉
渋	澀
渓	溪
満	滿
溌	潑
滝	瀧
瀬	瀨
為	爲
焔	焰
焼	燒
煙	菸
犠	犧
猟	獵
獣	獸
産	產
畳	疊
疏	疎
痩	瘦
痺	痹
発	發
皐	皋
県	縣
砕	碎
稜 棱	棱
稲	稻
穂	穗
穏	穩
穣	穰
竃	竈
竜	龍
粋	粹
粛	肅
粧	妝
糸	絲
経	經
絵	繪
絶	絕
継	繼
続	續
総	總
緑	綠
緒	緖
縁	緣
縄	繩
縦	縱
繊	纖
繋	繫
繍	繡
缶	罐
聡	聰
聴	聽
脳	腦
臓	臟
舎	舍
舗	鋪
茘	荔
荘 庄	莊
蔵	藏
薫	薰
薬	藥
蛍	螢
蝋	蠟
覇	霸
覚	覺
覧	覽
観	觀
訳	譯
証	證
説	說
読	讀
謡	謠
譲	讓
豊	豐
賛	贊
贋	贗
転	轉
軽	輕
輌	輛
辺	邊
逓	遞
連	聯
遅	遲
遙	遥
郷	鄉
酔	醉
醋	酢
醗	醱
醤	醬
醸	釀
釈	釋
鉄	鐵
鉱	鑛
銭	錢
鋳	鑄
錬	鍊
録	錄
関	關
閲	閱
闘	鬥
陥	陷
険	險
隠	隱
雑	雜
霊	靈
頴	穎
頼	賴
顔	顏
顕	顯
駅	驛
駆	驅
騒	騷
験	驗
髄	髓
髪	髮
鴎	鷗
鶏	雞
鹸	鹼
黒	黑
黙	默
鼈	鱉
齢	齡
